text_fi,text_sv
Vastuunalainen yhtiömies,Ansvarig bolagsman
Palveluntuottajien yhteisvastuu suhteessa tilaajaan,Serviceproducenters solidariska ansvar gentemot beställaren
Ennakkoratkaisun poistaminen,Undanröjande av förhandsavgörande
Takaisinperinnän perusteet,Grunderna för återkrav
Kustannusarvio,Kostnadsberäkning
Jätehuollon järjestäminen,Ordnande av avfallshantering
Käytössä olevat kertaliput vyöhykepohjaisia,Zonbaserade enkelbiljetter
Syrjintäkielto,Förbud mot diskriminering
Menettely hallinto-oikeudessa,Förfarandet i förvaltningsdomstolen
Oppisopimuskoulutus,Läroavtalsutbildning
Tavanomainen ja kohtuullinen henkilökuntaetu,Sedvanlig och rimlig personalförmån
Preavaus,Preöppning
Osuus kuolinpesään,Andel i dödsbo
Hoitoonmääräämispäätös,Beslut om vård oberoende av patientens vilja
Palvelujen ulkoistaminen,Utkontraktering av tjänster
Vapaaehtoinen hyvitys,Frivillig gottgörelse
Verotäytäntöönpano,Verkställighet av skatter
Turvallisuus- ja kemikaalivirasto,Säkerhets- och kemikalieverket
Suomessa rekisteröity osakeyhtiö,Aktiebolag som är registrerat i Finland
Asiamies,Ombud
Korkeimman hallinto-oikeuden esittelijä,Föredragande vid högsta förvaltningsdomstolen
Kotitalouksille tarkoitettujen ADSL-pohjaisten Internet-yhteyksien tukkumarkkina,Återförsäljarmarknad för ADSL-baserade för privathushåll avsedda Internetförbindelser
Erityinen tiedoksianto,Enskild delgivning
Irak,Irak
Aiheuttamisperiaate,Principen om förorenarens ansvar
Valtionavustuksen maksamisen lopettaminen ja takaisinperintä,Avbrytande av utbetalning och återkrav av statsunderstöd
Täytäntöönpanokelpoinen maasta poistamispäätös,Beslut om avlägsnande som får verkställas
Erityissäännös,Specialstadgande
Vuokrasopimus maanalaisen pysäköintilaitoksen tiloista,Hyresavtal om underjordisk parkeringsanläggning
Osoitetiedot,Adressuppgifter
Rakentamismääräyskokoelma,Byggbestämmelsesamling
Välittömien oikeusvaikutusten puuttuminen,Avsaknad av direkta rättsverkningar
Suomen riistakeskus,Finlands viltcentral
Tuloon lisättävä määrä,Belopp som läggs till inkomsten
Vähittäismyyntimonopoli,Detaljhandelsmonopol
Sotilaallinen käyttö,Militärt bruk
Velvollisuus ilmoittaa oikeudesta käyttää avustajaa,Skyldighet att underrätta on rättigheten att anlita ett biträde
Kaivospiiri,Utmål
Adoptioluvan edellytykset,Förutsättningar för tillstånd till adoption
Kirkollisvalitus,Kyrkobesvär
Seuraamusmaksuesityksen määräaika,Frist för framställning om påföljdsavgift
Tarjouspyyntöasiakirjojen väitetty puutteellisuus,Påstådd brist i handlingarna i anbudsförfrågan
Maantielaki,Landsvägslagen
Ympäristövaikutusten arviointimenettely (YVA-menettely),Förfarandet vid miljökonsekvensbedömning
Elinkeinotulon verottaminen,Beskattning av inkomst av näringsverksamhet
Maakaapeli,Jordkabel
Korkotulon jaksottaminen,Periodisering av ränteinkomst
Tarve pyytää ennakkoratkaisua unionin tuomioistuimelta,Behov att begära förhandsavgörande av unionens domstol
Omakotitalo,Egnahemshus
Perussopimus,Grundavtal
SICAV-yhteissijoitusyritys,SICAV-fondföretag
 Aikaisemman päätöksen muuttaminen,Ändring av ett tidigare beslut
Vaihtoehtorahasto,Alternativ investeringsfond
Viemäriverkoston rakentaminen,Anläggning av avloppsnät
Hautausmaa,Begravningsplats
Määräaika,Fatalj
Dokumentaatiosuoja,Dokumentationsskydd
Palveluliikenteen auto,Servicetrafikens bruksfordon
Suunnittelutarveratkaisu,Planeringsbehovsavgörande
Rajoitetusti verovelvollisen lähdeveron määrä,Källskattebelopp för begränsat skattskyldig
Menettely hallinto-oikeudessa,Förfarandet i en förvaltningsdomstol
Työperuste,Arbetsgrund
Vammaispalvelu,Handikappservice (Service med anledning av funktionsstörning)
Isovanhempi lasten- ja kodinhoitajana,Morförälder som barnskötare och hemvårdare
Myynti yhteisön ulkopuolelle,Försäljning utanför Europeiska gemenskapen
Unionin tuomioistuimen ennakkoratkaisu,Begäran om förhandsavgörande av unionens domstol
Korkein hallinto-oikeus,Högsta förvaltningsdomstolen
Oikeusvaikutteinen rantaosayleiskaava,Stranddelgeneralplan med rättsverkningar
Osinko,Utdelning
Lastin nostopalvelu,Lastningstjänster
Metsien taloudellisesti kestävä hoito ja käyttö,Ekonomiskt hållbar skötsel och användning av skog
Metsätie,Skogsväg
Rakennuksen jälleenhankinta-arvo,Byggnads återanskaffningsvärde
Euroopan ihmisoikeussopimus,Europeiska människorättskonventionen
Terveydensuojelu,Hälsoskydd
Rakennuspaikan hallinta,Innehav av byggplats
Oopperaesitys,Operaföreställning
Pysäköintipaikkojen luovuttaminen osakkaan vuokralaisille ja osakkaan työntekijöille,Upplåtande av parkeringsplatser åt en aktieägares hyresgäster och aktieägarens anställda
Tekstiviestipalvelu,SMS-tjänst (textmeddelanden)
Kuntayhtymän tarkastuslautakunta,Samkommuns revisionsnämnd
Uusintahakemus,Ny ansökan
Suorahankinta,Direkt upphandling
Kansanterveyden ja yleisen turvallisuuden turvaaminen,Tryggande av folkhälsan och allmän säkerhet
Viikonloppumatka,Veckoslutsresor
