text_fi,text_sv
"Yhtiö A oli pyytänyt Kilpailuvirastolta eräitä asiakirjoja, jotka Metsähallitus oli antanut Kilpailuvirastolle kilpailunrajoitusasiassa, jossa yhtiö oli yhtenä toimenpidepyynnön tekijänä.",Bolaget A hade av konkurrensverket begärt vissa handlingar som Forststyrelsen hade överlämnat till konkurrensverket i ett ärende om konkurrensbegränsning där bolaget hade varit med om att framföra begäran om åtgärder.
"Korkein hallinto-oikeus katsoi, että sitä, onko yhtiöllä viranomaisten toiminnan julkisuudesta annetun lain 11 §:n 1 momentin mukainen asianosaisen tiedonsaantioikeus Kilpailuviraston hallintomenettelyssä, on arvioitava erillään siitä kysymyksestä, onko yhtiö asianosainen Kilpailuviraston kilpailunrajoitusasiassa myöhemmin tekemään päätökseen liittyvässä valitusmenettelyssä.",Högsta förvaltningsdomstolen ansåg att frågan om huruvida bolaget i konkurrensverkets förvaltningsförvarande omfattades av en parts rätt att få information enligt 11 § 1 mom. lagen om offentlighet i myndigheternas verksamhet skulle bedömas oberoende av frågan om huruvida bolaget var part i ett besvärsförfarande i samband med beslutet i ett ärende om konkurrensbegränsning som konkurrensverket senare hade fattat.
Kulutuselektroniikkakauppaa harjoittava A Oy järjesti myyntikilpailuja valtuutettujen jälleenmyyjiensä myyntihenkilöstölle.,"A Ab, som bedrev handel med konsumtionselektronik, anordnade säljtävlingar för säljpersonalen hos sina auktoriserade återförsäljare."
Palkintoina luovutettavat tavarat olivat joko A Oy:n omia myyntituotteita tai tätä tarkoitusta varten ulkopuolelta hankittuja tavaroita.,Varorna som överläts som vinster var antingen A Ab:s egna försäljningsartiklar eller varor som skaffats utifrån för ändamålet.
A Oy:n vuodesta 1995 omistamalle tytäryhtiölle B Oy:lle oli kertynyt veroylijäämiä verovuosina 1996-1998.,"Dotterbolaget B Ab, som hade varit i A Ab:s ägo sedan 1995, hade skatteöverskott från skatteåren 1996-1998."
"Eräät kalastuskunnat ja yhdistys olivat sopineet, että kalastuskunta luovuttaa sille kuuluvan, järven lahdessa sijaitsevan vesialueensa kalastusoikeuden yhdistyksen käyttöön kymmenen vuoden ajaksi talvisin pilkkimällä harjoitettavaa kaupallista virkistyskalastustoimintaa varten.",Ett antal fiskelag hade träffat var sitt avtal med en förening om att fiskelaget för en tid av tio år skulle överlåta fiskerätten i sitt vattenområde i en insjövik till föreningen som bedriver kommersiellt fritidsfiske vintertid i form av pilkfiske.
"Sopimuksessa oli määrätty muun muassa, että yhdistys voi sulkea lahdesta järven muihin osiin johtavan salmen sulkuverkolla tai muulla laitteella.",Avtalet innehöll bland annat bestämmelser om att föreningen med avstängningsnät eller någon annan anordning kunde stänga av ett sund som leder från viken till sjöns övriga delar.
"Yhdistys voi vuokrakaudekseen hakea sellaisia kalastusta koskevia erityislupia ja pyyntirajoituksia, jotka ovat tarpeen yrittäjän toiminnassa.",För arrendetiden kan föreningen ansöka om specialtillstånd och fångstbegränsningar för fisket som företagaren behöver för verksamheten.
"Yhdistyksen oli hoidettava vesialueen kalanistutukset, jotka käsittivät talviongintakausittain noin 1000 kiloa muun muassa ""järvitaimenta, järvilohta, nieriää, harjusta (kirjolohta)"".","Föreningen skulle sköta utplanteringen av fisk i vattenområdet, som varje vinterfiskesäsong omfattade ca 1 000 kg bland annat ""insjööring, insjölax, röding, harr (regnbågslax)""."
"Toiminta, jollaista yhdistyksen toimesta harjoitettiin, ei palvellut kalastuslain 1§:ssä säädettyjä pyrkimyksiä vesialueiden mahdollisimman suuren pysyvän tuottavuuden saavuttamiseen ja kalakannan lisäämiseen.",Det slag av verksamhet som föreningen bedrev tjänade inte de syften enligt 1 § lagen om fiske som handlar om att uppnå största möjliga bestående produktivitet hos vattenområdena och en ökning av fiskbeståndet.
Istutetut kalat olivat pyyntikokoisia ja suurimmaksi osaksi kirjolohia.,Den utplanterade fisken var av fångststorlek och bestod till största delen av regnbågslax.
Kirjolohi ei ole Suomen vesien luontaista lajistoa eikä pysty lisääntymään täällä.,Regnbågslaxen hör inte till de naturliga arterna i Finlands vattendrag och kan inte föröka sig här.
Kaloja jouduttiin istuttamaan useita kertoja vuodessa.,Fisk måste utplanteras flera gånger om året.
Lahdessa toteutetut istutukset palvelivat kalakannan säilyttämistä yhdistyksen vesialueella harjoittaman kaupallisen toiminnan jatkuvuuden turvaamiseksi.,Utplanteringarna i viken tjänade till att bevara fiskbeståndet i mening att trygga kontinuiteten i den kommersiella verksamhet som föreningen utövade i vattenområdet.
Kysymyksessä ei ollut vesiemme kalakantaan sisältyvien tärkeiden ravintovarojen tehokas ja tarkoituksenmukainen hyväksikäyttäminen.,Det var inte fråga om ett effektivt och ändamålsenligt utnyttjande av de viktiga näringstillgångarna som ingår i fiskbestånden i våra vatten.
"Yhdistyksen harjoittama kaupallinen virkistyskalastustoiminta ei ollut sellainen erityinen syy, jonka perusteella voitiin määrätä kalastuslain 11 §:n 1 momentissa tarkoitettu rajoitus tai kielto.",Det kommersiella fritidsfisket som föreningen bedrev utgjorde inte ett sådant särskilt skäl som kunde ligga till grund för en begränsning eller ett förbud enligt 11 § 1 mom. lagen om fiske.
Perusteita kalastuslain 8 §:ssä tarkoitetun onkimisen ja pilkkimisen rajoittamiseksi tai kieltämiseksi ei siten ollut.,Således fanns det inte några grunder för att begränsa eller förbjuda mete och pilkfiske enligt 8 § lagen om fiske.
Yhdistyksen toimesta lahdessa tehdyt istutukset eivät olleet kalastuslain 11 §:n 2 momentissa tarkoitettua tavanomaista tehokkaampaa kalakannan hoitoa eikä asiassa siten ollut kysymys tuollaisen hoidon tulosten turvaamisesta.,"Utplanteringen av fisk som föreningen hade gjort i viken var inte osedvanligt effektiv vård av fiskbeståndet enligt 11 § 2 mom. lagen om fiske, och därmed var det inte fråga om att säkerställa resultatet av en sådan vård."
Perusteita kalastuslain 8 §:ssä tarkoitetun viehekalastuksen kieltämiseksi ei siten ollut.,Således fanns det inte några grunder för att förbjuda fiske med handredskap enligt 8 § lagen om fiske.
Kunta oli pyytänyt tarjousta kuntaan valmistuvan jäähalli/monitoimihallin vuokrauksesta ja toiminnan järjestämisestä.,Kommunen hade begärt anbud om hyrning av en ishall/allaktivitetshall som var under byggnad i kommunen och om organisering av verksamheten.
"Tarjouksessa oli pyydetty ilmoittamaan kunnalle maksettava vuokrahinta, ulosvuokrauksessa noudatettava hinnoittelu sekä kuntosalin ja kahvion toiminnan sekä kiinteistön hoidon järjestämistapa.","I anbudsbegäran uppmanades anbudsgivarna ange hur mycket de skulle betala kommunen i hyra, hurudan prissättning de skulle tillämpa vid vidareuthyrningen och hur de skulle driva motionssalen och cafeterian samt sköta fastigheten."
Kunta oli ilmoittanut ostavansa jäähallin ja monitoimihallin käyttövuorot koulujen aukioloaikoina klo 8.00 - 16.00 välisenä aikoina ja suorittavansa tästä ajasta korvausta 300 000 mk (alv 22 %)/vuosi.,Kommunen hade tillkännagivit sin avsikt att köpa bokningstiderna i ishallen och allaktivitetshallen under skolornas arbetstid mellan klockan 8.00 och 16.00 och att betala 300 000 mark (moms 22 %) om året i ersättning för denna tid.
"Korkein hallinto-oikeus katsoi, että kysymyksessä olevaa sekamuotoista sopimusjärjestelyä, jossa puolin ja toisin oli sovittu vastikkeiden maksamisesta, oli käsiteltävä kokonaisuutena arvioitaessa, oliko kysymys julkisista hankinnoista annetussa laissa tarkoitetusta hankinnasta.",Högsta förvaltningsdomstolen ansåg att det blandade avtalsarrangemanget med ömsesidigt avtal om betalning av vederlag skulle behandlas som en helhet när det gällde att avgöra om det var fråga om en sådan upphandling som avses i lagen om offentlig upphandling.
"Koska sopimuskokonaisuuden pääasialliseen osaan ei voitu soveltaa julkisista hankinnoista annettua lakia, ei pelkästään se seikka, että kunta samalla hankki hallivuorot, muodostanut kokonaisuudesta julkisista hankinnoista annetussa laissa tarkoitettua hankintaa.","Eftersom lagen om offentlig upphandling inte var tillämplig på den huvudsakliga delen i avtalshelheten, utgjorde helheten inte en upphandling enligt lagen om offentlig upphandling enbart på grund av det faktum att kommunen på samma gång upphandlade bokningstiderna."
Kilpailuneuvostolla ei ollut toimivaltaa tutkia sille tehtyä hakemusta.,Konkurrensrådet var inte behörigt att pröva ansökan som det hade förelagts.
"Poikkeamista oli haettu lomarakennuksen rakentamiseksi lintuvesiensuojeluohjelmaan ja Natura 2000 -verkostoehdotukseen kuuluvan vesialueen rannalla olevallevesijätöstä muodostetulle tilalle, jolla oli rantaviivaa50 - 60 m. Rakennuspaikka katsottiin rakennuskelpoiseksi.",Undantag hade sökts för att uppföra en semesterbyggnad på en lägenhet som bildats av en tillandning med en 50 - 60 meter lång strandlinje vid ett vattenområde som ingår i programmet för skydd av fågelrika insjöar och havsvikar och i förslaget till nätverket Natura 2000.
Maankäyttö- ja rakennnuslaki 72 § 1 mom. ja 172 § 1 mom.,"Därför var det inte längre nödvändigt att ge utlåtande om särskilt skäl enligt 171 § 1 mom. markanvändnings- och bygglagen, om försvårade möjligheter att uppnå målen för naturvården enligt 172 § 1 mom. 2 punkten markanvändnings- och bygglagen eller om bedömningsskyldigheten med stöd av 65 § 1 mom. naturvårdslagen."
"Pelkästään se seikka, että vuokratessaan koulujen sisäliikuntatiloja yleisölle käytettäväksi liikuntatoimintaan kunta harjoitti liikuntalaissa tarkoitettua julkista tehtävää, ei sulkenut pois sitä, että kilpailunrajoituksista annettu laki voisi tulla sovellettavaksi kuntaan.",Enbart det faktum att kommunen utförde ett offentligt uppdrag enligt idrottslagen då den hyrde ut skolornas utrymmen för inomhusmotion till allmänheten för att användas i idrottsverksamhet uteslöt inte att lagen om konkurrensbegränsningar kunde komma att tillämpas på kommunen.
"Kun kuitenkin otettiin huomioon liikuntatilojen vuokraamiseen liittyvät piirteet kokonaisuutena, erityisesti koulujen liikuntatilojen hyötykäytön tehostaminen ja maksujen määräytyminen muiden kuin liiketaloudellisten periaatteiden mukaan, kunnan toimintaa ei ollut pidettävä kilpailunrajoituksista annetun lain 3 §:n 1 momentissa tarkoitettuna ammattimaisena hyödykkeiden luovuttamisena vastiketta vastaan eikä kunta siten ollut momentissa tarkoitettu elinkeinonharjoittaja.","Då samtliga kännetecken för uthyrningen av motionsutrymmen beaktas, särskilt den effektivare användningen av skolornas motionsutrymmen och avgifterna som fastställs enligt andra än företagsekonomiska kriterier, skulle kommunens verksamhet emellertid inte anses vara yrkesmässig överlåtelse av nyttigheter mot vederlag enligt 3 § 1 mom. lagen om konkurrensbegränsningar, och kommunen var således inte en i momentet avsedd näringsidkare."
"Ympäristötarkastaja oli tehnyt kahta vapaa-ajan tarkoituksiin käytettyä tilaa koskevan päätöksen, joka sisälsi määräyksiä jätevesien johtamisesta ja toteamuksen, ettei käymäläjätevesien johtaminen ollut kaavamääräysten vuoksi mahdollista.",Miljöinspektören hade fattat ett beslut som gällde två fastigheter i fritidsbruk och som innehöll bestämmelser om avledande av avloppsvatten och ett konstaterande att det på grund av planbestämmelserna inte var möjligt att avleda avloppsvatten från vattenklosett.
A:n pyydettyä lupaa saada poiketa ympäristötarkastajan päätöksestä käymäläjätevesien osalta yhdyskuntatekniikan lautakunnan lupa- ja valvontajaosto oli päättänyt olla myöntämättä lupaa.,"A hade anhållit om tillstånd att avvika från miljöinspektörens beslut för toalettavloppsvattnets del, och samhällstekniska nämndens tillstånds- och tillsynssektion hade beslutat att inte bevilja tillståndet."
"A:n valitettua lupa- ja valvontajaoston päätöksestä hallinto-oikeus oli kumonnut päätöksen, ottanut asian suoraan käsiteltäväkseen ja myöntänyt A:lle luvan jätevesien johtamiseen tämän esittämän suunnitelman mukaisesti.","Sedan A hade överklagat tillstånds- och tillsynssektionens beslut, upphävde förvaltningsdomstolen beslutet och beslutade behandla ärendet direkt, och beviljade A tillstånd att leda avloppsvatten i enlighet med den plan som A hade lagt fram."
"Hallinto-oikeus oli liittänyt lupaan määräyksen erillisen, järjestelmän toimivuuden tarkastamisen mahdollistavan kaivon rakentamisesta.",Förvaltningsdomstolen hade tagit med i tillståndet en bestämmelse om att bygga en särskild brunn som gör det möjligt att inspektera systemets funktion.
"Korkein hallinto-oikeus totesi, että A oli pyytänyt lupaa saada rakentaa lomarakennuksen saneerauksen yhteydessä vesikäymälä ja johtaa jätevedet pienpuhdistamosta tarkastuskaivon kautta maahan imeytettäväksi erikseen rakennettavassa imeytyskentässä vapaa-ajan tarkoituksiin käytettävillä, järveen rajoittuvilla kahdella tilalla.",Högsta förvaltningsdomstolen konstaterade att A hade anhållit om tillstånd att i samband med saneringen av ett fritidshus bygga en vattenklosett och leda avloppsvattnet från ett småskaligt reningsverk genom en inspektionsbrunn för att filtreras i marken i en infiltrationsbädd som särskilt skulle anläggas för två fritidsfastigheter som gränsar till en sjö.
"Kun otettiin huomioon ympäristönsuojelulain 103 §:n 1 momentissa asetettu yleinen vaatimus sellaisesta yksittäisen kiinteistön jäteveden käsittelystä, että johtamisesta ei aiheudu ympäristön pilaantumisen vaaraa, sekä se, että vesikäymälästä johdettavien talousjätevesien käsittelyä ei ympäristönsuojelulain 18 § ja 103 §:n 2 momentti huomioon ottaen ole tarkoitettu ratkaistavaksi ennalta lupamenettelyssä, ei toiminnan luvanvaraisuus voinut perustua siihen, että toiminta ympäristönsuojelulain 28 §:n 2 momentin 1 tai 2 kohdassa tarkoitetuin tavoin saattaa aiheuttaa vesistön tai sitä pienemmän uoman pilaantumista.","Då man beaktade det allmänna kravet enligt 103 § 1 mom. miljöskyddslagen om att avloppsvattnet från en enskild fastighet skall avledas så att det inte uppstår risk för förorening av miljön och att behandlingen av hushållsavloppsvatten från vattenklosetter med beaktande av 18 § och 103 § 2 mom. miljöskyddslagen inte är avsedd att avgöras på förhand i tillståndsförfarande, kunde tillståndsplikten för verksamheten inte grunda sig på att verksamheten kan orsaka förorening av vattendrag eller mindre bädd på det sätt som avses i 28 § 2 mom. 1 eller 2 punkten miljöskyddslagen."
Muutakaan ympäristönsuojelulaissa säädettyä perustetta ympäristöluvan tarpeelle ei asiassa ollut.,I ärendet fanns inte heller något annat skäl för krav på miljötillstånd enligt miljöskyddslagen.
Tämän vuoksi hallinto-oikeuden päätös oli kumottava ja poistettava.,Därför skulle förvaltningsdomstolens beslut upphävas och undanröjas.
"Virvoitusjuomaveron lisäveroa koskevia säännöksiäei pidetty Euroopan yhteisön oikeuden vastaisestisyrjivinä, koska säännökset ovat yhdenmukaiset Suomessavalmistettujen ja maahantuotujen tuotteiden osalta.","Bestämmelserna om tilläggsaccis i läskedrycksaccisen ansågs inte utgöra diskriminering i strid med gemenskapsrätten, eftersom bestämmelserna är enhetliga för varor som är tillverkade i Finland och för importerade varor."
Myöskään lisäveron kantamisessa ja verosta vapauttamisessa sovellettavaamenettelyä ei pidetty syrjivänä.,Förfarandet för uppbärande av tilläggsaccisen och för befrielse från skatt ansågs inte heller vara diskriminerande.
"Myyntineuvottelija oli, oltuaan muovialalla neljässä eri maassa toimineen yhtiön palveluksessa runsaat neljä vuotta, aloittanut työn ohessa suoritettavan ja työnantajan kustantaman MBA-koulutusohjelman.",Efter att ha varit anställd i drygt fyra år hos ett bolag i plastbranschen med verksamhet i fyra länder inledde en försäljningsförhandlare vid sidan om sitt arbete ett MBA-utbildningsprogram som arbetsgivaren bekostade.
Aikaisemmalta koulutukseltaan hän oli ylioppilasmerkonomi.,Till sin tidigare utbildning var försäljningsförhandlaren studentmerkonom.
MBA-koulutus johtui hänen yhtiössä suorittamiensa työtehtävien kehittymisestä ja muuttumisesta myyntitiimin ja ryhmänvetäjäksi.,MBA-utbildningen föranleddes av att försäljningsförhandlaren avancerade i bolaget till gruppledare och ansvarig för försäljningsteamet.
Koulutus oli siten tarpeellinen ensisijassa yhtiön edun vuoksi.,Utbildningen hade därför i första hand varit i bolagets intresse.
Yhtiön maksamista noin 120 000 markan koulutuskustannuksista ei syntynyt työntekijälle palkanluonteista etua.,För arbetstagaren utgjorde utbildningskostnaderna om ca 120 000 mark som bolaget betalat inte en fördel som har karaktären av lön.
